question,answer,source,focus_area
What are the treatments for FG syndrome ?,"How might FG syndrome be treated? Treatment is aimed at addressing the individual symptoms present in each case. This often involves care by a team of providers which may include pediatricians, neurologists, cardiologists, surgeons, gastroenterologists, and psychologists. Early intervention and special education services should be initiated as soon as possible so that each child can reach his fullest potential. GeneReviews provides a detailed list of management strategies.",GARD,FG syndrome
What causes Medullary cystic kidney disease ?,"What causes medullary cystic kidney disease? There are 2 types of MCKD, which are both inherited in an autosomal dominant manner but are caused by mutations in different genes. MCKD 1 is caused by mutations in the MCKD1 gene (which has not yet been identified) and MCKD 2 is caused by mutations in the UMOD gene. Exposure to seizure medication is not a known cause medullary cystic kidney disease.",GARD,Medullary cystic kidney disease
What are the symptoms of Westphal disease ?,"What are the signs and symptoms of Westphal disease? The Human Phenotype Ontology provides the following list of signs and symptoms for Westphal disease. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of movement 50% Abnormality of the voice 50% Behavioral abnormality 50% Cerebral cortical atrophy 50% Developmental regression 50% EEG abnormality 50% Hypertonia 50% Rigidity 7.5% Abnormality of eye movement - Autosomal dominant inheritance - Bradykinesia - Chorea - Dementia - Depression - Gliosis - Hyperreflexia - Neuronal loss in central nervous system - Personality changes - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Westphal disease
What is (are) autosomal dominant hypocalcemia ?,"Autosomal dominant hypocalcemia is characterized by low levels of calcium in the blood (hypocalcemia). Affected individuals can have an imbalance of other molecules in the blood as well, including too much phosphate (hyperphosphatemia) or too little magnesium (hypomagnesemia). Some people with autosomal dominant hypocalcemia also have low levels of a hormone called parathyroid hormone (hypoparathyroidism). This hormone is involved in the regulation of calcium levels in the blood. Abnormal levels of calcium and other molecules in the body can lead to a variety of signs and symptoms, although about half of affected individuals have no associated health problems.  The most common features of autosomal dominant hypocalcemia include muscle spasms in the hands and feet (carpopedal spasms) and muscle cramping, prickling or tingling sensations (paresthesias), or twitching of the nerves and muscles (neuromuscular irritability) in various parts of the body. More severely affected individuals develop seizures, usually in infancy or childhood. Sometimes, these symptoms occur only during episodes of illness or fever.  Some people with autosomal dominant hypocalcemia have high levels of calcium in their urine (hypercalciuria), which can lead to deposits of calcium in the kidneys (nephrocalcinosis) or the formation of kidney stones (nephrolithiasis). These conditions can damage the kidneys and impair their function. Sometimes, abnormal deposits of calcium form in the brain, typically in structures called basal ganglia, which help control movement.  A small percentage of severely affected individuals have features of a kidney disorder called Bartter syndrome in addition to hypocalcemia. These features can include a shortage of potassium (hypokalemia) and magnesium and a buildup of the hormone aldosterone (hyperaldosteronism) in the blood. The abnormal balance of molecules can raise the pH of the blood, which is known as metabolic alkalosis. The combination of features of these two conditions is sometimes referred to as autosomal dominant hypocalcemia with Bartter syndrome or Bartter syndrome type V.  There are two types of autosomal dominant hypocalcemia distinguished by their genetic cause. The signs and symptoms of the two types are generally the same.",GHR,autosomal dominant hypocalcemia
what research (or clinical trials) is being done for Transitional Cell Cancer of the Renal Pelvis and Ureter ?,"New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI Web site.     Fulguration     Fulguration is a surgical procedure that destroys tissue using an electric current. A tool with a small wire loop on the end is used to remove the cancer or to burn away the tumor with electricity.       Segmental resection of the renal pelvis    This is a surgical procedure to remove localized cancer from the renal pelvis without removing the entire kidney. Segmental resection may be done to save kidney function when the other kidney is damaged or has already been removed.        Laser surgery    A laser beam (narrow beam of intense light) is used as a knife to remove the cancer. A laser beam can also be used to kill the cancer cells. This procedure may also be called or laser fulguration.       Regional chemotherapy and regional biologic therapy     Chemotherapy is a cancer treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping the cells from dividing. Biologic therapy is a treatment that uses the patient's immune system to fight cancer; substances made by the body or made in a laboratory are used to boost, direct, or restore the body's natural defenses against cancer. Regional treatment means the anticancer drugs or biologic substances are placed directly into an organ or a body cavity such as the abdomen, so the drugs will affect cancer cells in that area. Clinical trials are studying chemotherapy or biologic therapy using drugs placed directly into the renal pelvis or the ureter.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.",CancerGov,Transitional Cell Cancer of the Renal Pelvis and Ureter
Is heterotaxy syndrome inherited ?,"Most often, heterotaxy syndrome is sporadic, meaning that only one person in a family is affected. However, about 10 percent of people with heterotaxy syndrome have a close relative (such as a parent or sibling) who has a congenital heart defect without other apparent features of heterotaxy syndrome. Isolated congenital heart defects and heterotaxy syndrome may represent a range of signs and symptoms that can result from a particular genetic mutation; this situation is known as variable expressivity. It is also possible that different genetic and environmental factors combine to produce isolated congenital heart defects in some family members and heterotaxy syndrome in others.  When heterotaxy syndrome runs in families, it can have an autosomal dominant, autosomal recessive, or X-linked pattern of inheritance, depending on which gene is involved. Autosomal dominant inheritance means that one copy of the altered gene in each cell is sufficient to cause the disorder. Autosomal recessive inheritance means that both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition. In X-linked inheritance, the mutated gene that causes the disorder is located on the X chromosome, one of the two sex chromosomes in each cell.  When heterotaxy syndrome occurs as a feature of primary ciliary dyskinesia, it has an autosomal recessive pattern of inheritance.",GHR,heterotaxy syndrome
What are the treatments for Parasites - Babesiosis ?,"Effective treatments are available. People who do not have any symptoms or signs of babesiosis usually do not need to be treated.
    
Before considering treatment, the first step is to make sure the diagnosis is correct.
    
For more information, people should talk to their health care provider.
    
More on: Resources for Health Professionals: Treatment",CDC,Parasites - Babesiosis
How many people are affected by severe congenital neutropenia ?,"The incidence of severe congenital neutropenia is estimated to be 1 in 200,000 individuals.",GHR,severe congenital neutropenia
What are the treatments for Amyloidosis AA ?,"What are the most current treatments for this disease? In amyloidosis AA, the treatment depends on the underlying disease. It is important to control the chronic infection or inflammatory disease which is responsible for the amyloid. Both surgery and medication can be used to achieve successful treatment outcomes for patients. Medscape Reference provides current and comprehensive information on medical treatment options for amyloidosis AA based on the underlying inflammatory disease or infection. Please visit the link below. You may need to register to view the article, but registration is free. http://emedicine.medscape.com/article/335559-treatment#showall Kidney transplant is an important option in patients with amyloidosis AA in which stable control of the underlying disease has been achieved. However, appropriate patient selection is strongly recommended due to a higher incidence of heart failure and infections in AA individuals. Currently there is a clinical study on the safety and effectiveness of the medication KIACTA in preventing decline of renal function in patients with amyloidosis AA. CLICK HERE to learn more about this study including the six study locations within the United States.",GARD,Amyloidosis AA
What is (are) Afibrinogenemia ?,"Afibrinogenemia, sometimes called congenital afibrinogenemia, is an inherited blood disorder in which the blood does not clot normally. It occurs when there is a lack (deficiency) of a protein called fibrinogen (or factor I), which is needed for the blood to clot. Affected individuals may be susceptible to severe bleeding (hemorrhaging) episodes, particularly during infancy and childhood. Afibrinogenemia is thought to be transmitted as an autosomal recessive trait.",GARD,Afibrinogenemia
How many people are affected by activated PI3K-delta syndrome ?,The prevalence of activated PI3K-delta syndrome is unknown.,GHR,activated PI3K-delta syndrome
What to do for What I need to know about Preparing for Pregnancy if I Have Diabetes ?,"- If you have diabetes, the best time to control your blood glucose, also called blood sugar, is before you get pregnant. High blood glucose levels can be harmful to your baby during the first weeks of pregnancyeven before you know you are pregnant.  - Keeping your blood glucose as close to normal as possible before and during your pregnancy is the most important thing you can do to stay healthy and have a healthy baby.  - Before you get pregnant, you can plan and prepare for having a healthy pregnancy and a healthy baby. If you have diabetes and are already pregnant, you can make sure you are doing everything you can to take care of yourself and your diabetes during your pregnancy.  - Regular visits with members of a health care team who are experts in diabetes and pregnancy will ensure you get the best care. Your health care team can help you learn how to use a healthy eating plan, physical activity, and medicines to reach your blood glucose targets before and during pregnancy.  - During pregnancy, the safest diabetes medicine is insulin. Your health care team will work with you to make a personalized insulin routine. Some medicines are not safe during pregnancy and should be stopped before you get pregnant. Your doctor can tell you which medicines to stop taking.  - You will have tests throughout your pregnancy to check your baby's health.  - You can give your baby a healthy start by breastfeeding.",NIDDK,What I need to know about Preparing for Pregnancy if I Have Diabetes
What is (are) Sinusitis ?,"Sinusitis means your sinuses are inflamed. The cause can be an infection or another problem. Your sinuses are hollow air spaces within the bones surrounding the nose. They produce mucus, which drains into the nose. If your nose is swollen, this can block the sinuses and cause pain.    There are several types of sinusitis, including       - Acute, which lasts up to 4 weeks    - Subacute, which lasts 4 to 12 weeks    - Chronic, which lasts more than 12 weeks and can continue for months or even years    - Recurrent, with several attacks within a year       Acute sinusitis often starts as a cold, which then turns into a bacterial infection. Allergies, nasal problems, and certain diseases can also cause acute and chronic sinusitis.    Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip. Your health care professional diagnoses sinusitis based on your symptoms and an examination of your nose and face. You may also need imaging tests. Treatments include antibiotics, decongestants, and pain relievers. Using heat pads on the inflamed area, saline nasal sprays, and vaporizers can also help.    NIH: National Institute of Allergy and Infectious Diseases",MPlusHealthTopics,Sinusitis
What are the symptoms of What I need to know about Interstitial Cystitis/Painful Bladder Syndrome ?,"Signs of bladder problems include
                
-  Urgency. The feeling that you need to go right now! Urgency is normal if you haven't been near a bathroom for a few hours or if you have been drinking a lot of fluids. But you may have a problem if you have strong urges before your bladder has had time to fill. All of a sudden, you feel a strong urge to go. At times, you may even have an accident because the urge strikes so quickly you don't have time to find a bathroom.    - Frequency. The feeling that you need to go much more often than anyone else. Doctors and nurses use the term void, which means to empty the bladder. Most people void between four and seven times a day. Drinking large amounts of fluid can cause more frequent voiding. Taking blood pressure medicines called diuretics, or water pills, can also cause more frequent voiding. If you void more than eight times a day, and you dont take diuretics or drink large amounts of fluid, it may be the sign of a problem.  - Pain. The feeling of more than discomfort when you need to go. Having a full bladder may be uncomfortable, but it should not be painful. You may have a problem if you feel burning or sharp pain in your bladder or urethrathe opening where urine leaves the body.
                
Some people may have pain without urgency or frequency. Others have urgency and frequency without pain.",NIDDK,What I need to know about Interstitial Cystitis/Painful Bladder Syndrome
What causes Dry Mouth ?,"People get dry mouth when the glands in the mouth that make saliva are not working properly. Because of this, there might not be enough saliva to keep your mouth healthy. There are several reasons why these glands, called salivary glands, might not work right. Medicines and Dry Mouth More than 400 medicines, including some over-the-counter medications, can cause the salivary glands to make less saliva, or to change the composition of the saliva so that it can't perform the functions it should. As an example, medicines for urinary incontinence, allergies, high blood pressure, and depression often cause dry mouth. Diseases That Can Cause Dry Mouth Some diseases can affect the salivary glands. Dry mouth can occur in patients with diabetes. Dry mouth is also the hallmark symptom of the fairly common autoimmune disease Sjgren's syndrome. Sjgren's syndrome can occur either by itself or with another autoimmune disease like rheumatoid arthritis or lupus. Salivary and tear glands are the major targets of the syndrome and the result is a decrease in production of saliva and tears. The disorder can occur at any age, but the average person with the disorder at the Sjgren's Syndrome Clinic of the National Institute of Dental and Craniofacial Research (NIDCR) is in his or her late 50s. Women with the disorder outnumber men 9 to 1. Cancer Treatments and Dry Mouth Certain cancer treatments can affect the salivary glands. Head and neck radiation therapy can cause the glands to produce little or no saliva. Chemotherapy may cause the salivary glands to produce thicker saliva, which makes the mouth feel dry and sticky. Injury to the head or neck can damage the nerves that tell salivary glands to make saliva.",NIHSeniorHealth,Dry Mouth
What are the treatments for Polycythemia vera ?,"What treatments are available for itching related to polycythemia vera? There are several treatments for the itching (pruritus) related to polycythemia vera (PV).  No single treatment has been found to be effective for all affected individuals.  For mild cases, treatment may include avoiding triggers of itching and dry skin, or controlling the temperature of the environment and bathing water.  Several other treatments are available for more severe itching or for itching the does not respond to initial treatments.  Interferon-alpha has been found to be effective for reducing itching in a majority of individual with PV who received this therapy; however, this medication can have significant side effects.  Selective serotonin reuptake inhibitors (SSRIs), typically used to treat depression, may reducing itching for some individuals with PV..  Phototherapy, antihistamines, and phlebotomy have also been attempted, with mixed results.  Additionally, if a genetic cause of polycythemia vera is know, medications targeted to the causative gene - such as JAK or mTor inhibitors - may be helpful in reducing itching.",GARD,Polycythemia vera
What are the treatments for Shapiro syndrome ?,"What treatment options have been attempted for Shapiro syndrome? Evaluating effective treatment options for Shapiro syndrome can be difficult because of the limited number of diagnosed cases, the periodic nature of the disease, and other factors. Nonetheless, the following have been attempted and have resulted in varying responses: anticonvulsants, clonidine, cyproheptadine, glycopyrrolate, bromocriptine, chlorpromazine, or sympathectomy. It is recommended that treatment options be discussed with a health care provider. Only a patient's health care provider can determine the appropriate course of treatment.",GARD,Shapiro syndrome
How to prevent Kyasanur Forest Disease (KFD) ?,A vaccine does exist for KFD and is used in endemic areas of India. Additional preventative measures include insect repellents and wearing protective clothing in areas where ticks are endemic.,CDC,Kyasanur Forest Disease (KFD)
What are the treatments for pseudoachondroplasia ?,These resources address the diagnosis or management of pseudoachondroplasia:  - Gene Review: Gene Review: Pseudoachondroplasia  - Genetic Testing Registry: Pseudoachondroplastic spondyloepiphyseal dysplasia syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,pseudoachondroplasia
What is (are) complete LCAT deficiency ?,"Complete LCAT deficiency is a disorder that primarily affects the eyes and kidneys.  In complete LCAT deficiency, the clear front surface of the eyes (the corneas) gradually becomes cloudy. The cloudiness, which generally first appears in early childhood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As complete LCAT deficiency progresses, the corneal cloudiness worsens and can lead to severely impaired vision.  People with complete LCAT deficiency often have kidney disease that begins in adolescence or early adulthood. The kidney problems get worse over time and may eventually lead to kidney failure. Individuals with this disorder also usually have a condition known as hemolytic anemia, in which red blood cells are broken down (undergo hemolysis) prematurely, resulting in a shortage of red blood cells (anemia). Anemia can cause pale skin, weakness, fatigue, and more serious complications.  Other features of complete LCAT deficiency that occur in some affected individuals include enlargement of the liver (hepatomegaly), spleen (splenomegaly), or lymph nodes (lymphadenopathy) or an accumulation of fatty deposits on the artery walls (atherosclerosis).",GHR,complete LCAT deficiency
What are the treatments for progressive supranuclear palsy ?,"These resources address the diagnosis or management of progressive supranuclear palsy:  - Gene Review: Gene Review: MAPT-Related Disorders  - Genetic Testing Registry: Progressive supranuclear ophthalmoplegia  - NHS Choices (UK): Diagnosis of Progressive Supranuclear Palsy  - NHS Choices (UK): Treatment of Progressive Supranuclear Palsy  - Partners in Parkinson's: Movement Disorder Specialist Finder  - University of California, San Francisco (UCSF) Memory and Aging Center   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",GHR,progressive supranuclear palsy
How many people are affected by 2-methylbutyryl-CoA dehydrogenase deficiency ?,"2-methylbutyryl-CoA dehydrogenase deficiency is a rare disorder; its actual incidence is unknown. This disorder is more common, however, among Hmong populations in southeast Asia and in Hmong Americans. 2-methylbutyryl-CoA dehydrogenase deficiency occurs in 1 in 250 to 1 in 500 people of Hmong ancestry.",GHR,2-methylbutyryl-CoA dehydrogenase deficiency
How many people are affected by X-linked sideroblastic anemia ?,"This form of anemia is uncommon. However, researchers believe that it may not be as rare as they once thought. Increased awareness of the disease has led to more frequent diagnoses.",GHR,X-linked sideroblastic anemia
What are the symptoms of Facio thoraco genital syndrome ?,"What are the signs and symptoms of Facio thoraco genital syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Facio thoraco genital syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Anteverted nares - Autosomal recessive inheritance - Glandular hypospadias - Long philtrum - Microphthalmia - Pectus excavatum - Prominent scrotal raphe - Shawl scrotum - Small nail - Smooth philtrum - Wide intermamillary distance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Facio thoraco genital syndrome
What causes Juvenile amyotrophic lateral sclerosis ?,What causes juvenile amyotrophic lateral sclerosis? Juvenile amyotrophic lateral sclerosis (ALS) is often genetic and may be caused by mutations in the ALS2 or SETX genes. In some cases the underlying gene abnormality cannot be determined. Juvenile ALS may be inherited in an autosomal dominant (as in ALS type 4) or autosomal recessive (as in ALS type 2) fashion.,GARD,Juvenile amyotrophic lateral sclerosis
What are the treatments for permanent neonatal diabetes mellitus ?,"These resources address the diagnosis or management of permanent neonatal diabetes mellitus:  - Gene Review: Gene Review: Permanent Neonatal Diabetes Mellitus  - Genetic Testing Registry: Pancreatic agenesis, congenital  - Genetic Testing Registry: Permanent neonatal diabetes mellitus  - University of Chicago Kovler Diabetes Center   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",GHR,permanent neonatal diabetes mellitus
What are the symptoms of Acatalasemia ?,"What are the signs and symptoms of Acatalasemia? The Human Phenotype Ontology provides the following list of signs and symptoms for Acatalasemia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Oral ulcer - Reduced catalase activity - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Acatalasemia
What is (are) Sclerosing mucoepidermoid carcinoma with eosinophilia ?,"Sclerosing mucoepidermoid carcinoma with eosinophilia (SMECE) is a type of cancer that most commonly affects the thyroid gland, but has been reported in the salivary gland as well. Signs and symptoms include a painless neck mass. Many people with mucoepidermoid carcinomas are women with Hashimoto's thyroiditis. The prevalence of SMECE is unknown, but only around 50 cases have been described in the medical literature. SMECE most commonly presents between 40 to 75 years of age. SMECE was initially considered a ""low-grade"" tumor, however cases of SMECE spreading locally to lymph nodes and to distant organs have been described. While data is limited, with treatment it appears that prognosis is typically good.",GARD,Sclerosing mucoepidermoid carcinoma with eosinophilia
What are the symptoms of Pseudodiastrophic dysplasia ?,"What are the signs and symptoms of Pseudodiastrophic dysplasia? The Human Phenotype Ontology provides the following list of signs and symptoms for Pseudodiastrophic dysplasia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal form of the vertebral bodies 90% Elbow dislocation 90% Hypoplasia of the zygomatic bone 90% Scoliosis 90% Omphalocele 7.5% Autosomal recessive inheritance - Fever - Hypoplasia of midface - Hypoplasia of the odontoid process - Lumbar hyperlordosis - Malar flattening - Phalangeal dislocation - Platyspondyly - Rhizomelia - Severe short stature - Talipes equinovarus - Tongue-like lumbar vertebral deformities - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Pseudodiastrophic dysplasia
What are the symptoms of Charcot-Marie-Tooth disease type 1E ?,"What are the signs and symptoms of Charcot-Marie-Tooth disease type 1E? The Human Phenotype Ontology provides the following list of signs and symptoms for Charcot-Marie-Tooth disease type 1E. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Areflexia - Autosomal dominant inheritance - Childhood onset - Decreased motor nerve conduction velocity - Distal muscle weakness - Distal sensory impairment - Foot dorsiflexor weakness - Hammertoe - Hyporeflexia - Juvenile onset - Pes cavus - Sensorineural hearing impairment - Split hand - Steppage gait - Talipes calcaneovalgus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Charcot-Marie-Tooth disease type 1E
Do you have information about Diabetes Medicines,"Summary : Diabetes means your blood glucose, or blood sugar, levels are too high. If you can't control your diabetes with wise food choices and physical activity, you may need diabetes medicines. The kind of medicine you take depends on your type of diabetes, your schedule, and your other health conditions.     With type 1 diabetes, your pancreas does not make insulin. Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. If you have type 1 diabetes, you will need to take insulin.     Type 2 diabetes, the most common type, can start when the body doesn't use insulin as it should. If your body can't keep up with the need for insulin, you may need to take pills. Along with meal planning and physical activity, diabetes pills help people with type 2 diabetes or gestational diabetes keep their blood glucose levels on target. Several kinds of pills are available. Each works in a different way. Many people take two or three kinds of pills. Some people take combination pills. Combination pills contain two kinds of diabetes medicine in one tablet. Some people take pills and insulin.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases",MPlusHealthTopics,Diabetes Medicines
Is Stiff person syndrome inherited ?,"Is stiff person syndrome inherited? Genetic factors involved in causing stiff person syndrome have not been established.  While most cases appear to occur in an isolated manner, some familial cases have been reported. The fact that stiff person syndrome can occur with other autoimmune disorders suggests that genetics may play a role.",GARD,Stiff person syndrome
How many people are affected by autosomal recessive primary microcephaly ?,"The prevalence of all forms of microcephaly that are present from birth (primary microcephaly) ranges from 1 in 30,000 to 1 in 250,000 newborns worldwide. About 200 families with MCPH have been reported in the medical literature. This condition is more common in several specific populations, such as in northern Pakistan, where it affects an estimated 1 in 10,000 newborns.",GHR,autosomal recessive primary microcephaly
How to diagnose Tracheobronchomalacia ?,"How is tracheobronchomalacia diagnosed? A diagnosis of tracheobronchomalacia (TBM) may be suspected based on the presence of characteristic signs and symptoms or abnormal pulmonary function tests. Additional testing such as CT scan and bronchoscopy can then be performed to confirm the diagnosis and evaluate the severity of the condition. TBM is considered mild if the trachea narrows to 50% of its initial size while the affected person is breathing out, moderate if it narrows to 25%, and severe if the walls of the trachea touch.",GARD,Tracheobronchomalacia
What are the symptoms of Osteosclerosis with ichthyosis and premature ovarian failure ?,"What are the signs and symptoms of Osteosclerosis with ichthyosis and premature ovarian failure? The Human Phenotype Ontology provides the following list of signs and symptoms for Osteosclerosis with ichthyosis and premature ovarian failure. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Chorioretinal abnormality 90% Edema of the lower limbs 90% Ichthyosis 90% Increased bone mineral density 90% Secondary amenorrhea 90% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Osteosclerosis with ichthyosis and premature ovarian failure
What causes Mosaic trisomy 9 ?,"What causes mosaic trisomy 9? Most cases of mosaic trisomy 9 occur due to a random event during the formation of the reproductive cells (egg and sperm) or after fertilization has taken place. An error in cell division (called nondisjunction) may cause some eggs or sperm to have an abnormal number of chromosomes. If an egg or sperm with an extra chromosome 9 contributes to the genetic makeup of an embryo, the embryo will have an extra copy of chromosome 9 in each cell. As the embryo grows and divides, an attempt may be made to correct the mistake by eliminating one extra chromosome 9. In people with mosaic trisomy 9, this attempt may be partly successful, leaving some cells with an extra chromosome 9 and some cells with the extra chromosome deleted (the usual chromosome number). This correction process is called trisomy rescue. In other cases, the egg and sperm may have a normal number of chromosomes, but an error of cell division (nondisjunction) occurs when the fertilized egg is growing and dividing. If an error occurs during one of the divisions, it can cause some cells to have an abnormal number of chromosomes. In people affected by mosaic trisomy 9, some of the body's cells have the usual two copies of chromosome 9, and other cells have three copies of this chromosome (trisomy). The percentage of cells with trisomy 9 and which parts of the body are affected vary from person to person. This leads to variability in the range and severity of symptoms. In rare cases, mosaic trisomy 9 is inherited from a parent with a chromosomal rearrangement called a ""pericentric inversion."" This occurs when a segment of chromosome 9 has broken off in two places, swiveled round 180 degrees and reinserted itself into the chromosome. If this rearrangement is considered ""balanced,"" meaning the piece of chromosome is in a different order but no genetic material is gained or lost, it usually does not cause any symptoms or health problems. However, it can be associated with an increased risk of having children with an abnormal number or chromosomes.",GARD,Mosaic trisomy 9
